"Country","Count.Var1","Count.Freq","CharacterCode","Code"
"AASIASSA","Aasiassa",1,"XX",0
"AFGHANISTAN","Afghanistan",1,"AF",1
"AFRICA","Africa",2,"TD",34
"ALBANIA","Albania",3,"CO",2
"ALGERIE","Algerie",1,"DZ",3
"AMERICA","america",1,"US",64
"ANGOLA","Angola",1,"AO",5
"ARGENTINA","argentina",2,"AR",7
"ARGENTINA","Argentina",2,"AR",7
"ARGENTINE","Argentine",1,"AR",7
"ASIA","Asia",1,"RU",143
"AUSTRALIA","Australia",1,"AU",9
"AUSTRIA","Austria",1,"AT",10
"AZERBAYJAN","Azerbayjan",1,"AZ",11
"BANGLADESH","Bangladesh",7,"KE",14
"BELARUS","Belarus",1,"BY",16
"BÉLGICA","Bélgica",1,"",0
"BELGIUM","Belgium",2,"",0
"BOLIVIA","Bolivia",3,"",0
"BOLIVIA","BOLIVIA",1,"",0
"BOSNIA","bosnia",1,"",0
"BOSNIA","Bosnia",1,"",0
"BOSNIA AND HERZEGOVINA","Bosnia and Herzegovina",1,"",0
"BRASIL","Brasil",5,"",0
"BRAZIL","Brazil",4,"",0
"BRITAIN","Britain",2,"",0
"BULGARIA","Bulgaria",1,"",0
"CALCUTTA INDIA","Calcutta india",1,"",0
"CAMBODIA","cambodia",1,"",0
"CAMEROUN","Cameroun",1,"",0
"CANADA","Canada",4,"",0
"CARRIBEAN","carribean",1,"",0
"CHILE","chile",2,"",0
"CHILE","Chile",5,"",0
"CHINA","china",3,"",0
"CHINA","China",22,"",0
"CIOACIA","Cioacia",1,"",0
"COLOMBIA","colombia",1,"",0
"COLOMBIA","Colombia",3,"",0
"COLOMBIAN","Colombian",1,"",0
"CONGO KINSHASA","Congo Kinshasa",1,"",0
"COSTA RICA","Costa Rica",1,"",0
"CROATIA","croatia",1,"",0
"CUBA","cuba",1,"",0
"CUBA","Cuba",5,"",0
"CYPRUS","Cyprus",4,"",0
"CZECH REPUBLIC","czech republic",1,"",0
"CZECH REPUBLIC","Czech Republic",1,"",0
"CZECHOSLOVAK SOCIALIST REPUBLIC","czechoslovak socialist republic",1,"",0
"DANMARK","Danmark",2,"",0
"DENMARK","Denmark",2,"",0
"DOMINICAN REPUBLIC","Dominican Republic",1,"",0
"DOMINIKANSKE REPUBLIKK","Dominikanske Republikk",1,"",0
"ECUADOR","Ecuador",1,"",0
"EGYPT","Egypt",7,"",0
"ENGLAND","england",4,"",0
"ENGLAND","England",26,"",0
"ENGLAND","ENGLAND",1,"",0
"ESPAÑA","españa",1,"",0
"ESPAÑA","España",2,"",0
"ESTADOS UNIDOS","Estados Unidos",1,"",0
"ETIOPIA","Etiopia",1,"",0
"EUROPE","europe",1,"",0
"EUROPE","Europe",1,"",0
"EX JUGOSLAVIA","Ex jugoslavia",1,"",0
"FIJI","Fiji",2,"",0
