"Country","Count.Var1","Count.Freq","CharacterCode","Code"
"1934","1934",1,"",0
"1969","1969",1,"",0
"1988","1988",1,"",0
"2004","2004",1,"",0
"2006","2006",1,"",0
"Africa","Africa",5,"",0
"Alaska","Alaska",1,"",0
"Albania","Albania",2,"",0
"Alemán","Alemán",1,"",0
"Alemania","Alemania",1,"",0
"Algeria","Algeria",1,"",0
"Algerie","Algerie",1,"",0
"Algérie","Algérie",1,"",0
"Amazon","Amazon",1,"",0
"america","america",2,"",0
"America","America",5,"",0
"argentina","argentina",3,"",0
"Argentina","Argentina",5,"",0
"Argitina","Argitina",1,"",0
"Asia","Asia",2,"",0
"austalia","austalia",1,"",0
"Australia","Australia",7,"",0
"Avenue Portland","Avenue Portland",1,"",0
"Azerbaijan","Azerbaijan",1,"",0
"Azerbayjan","Azerbayjan",1,"",0
"Bahia","Bahia",1,"",0
"Balan","Balan",1,"",0
"BALAN","BALAN",1,"",0
"Banglad3sh","Banglad3sh",1,"",0
"Bangladesh","Bangladesh",7,"",0
"Belarus","Belarus",1,"",0
"Bélgica","Bélgica",1,"",0
"Belgium","Belgium",3,"",0
"Bolivia","Bolivia",1,"",0
"BOLIVIA","BOLIVIA",1,"",0
"Born here","Born here",1,"",0
"bosnia","bosnia",1,"",0
"Bosnia","Bosnia",1,"",0
"Bosnia and Herzegovina","Bosnia and Herzegovina",1,"",0
"Bozo land","Bozo land",1,"",0
"brasil","brasil",2,"",0
"Brasil","Brasil",12,"",0
"Brazil","Brazil",6,"",0
"Builgaria","Builgaria",1,"",0
"Bulgaria","Bulgaria",1,"",0
"Calcutta","Calcutta",1,"",0
"Cameroun","Cameroun",1,"",0
"canada","canada",2,"",0
"Canada","Canada",14,"",0
"Canadá","Canadá",1,"",0
"Cape Town-South Africa","Cape Town-South Africa",1,"",0
"chile","chile",1,"",0
"Chile","Chile",7,"",0
"china","china",3,"",0
"China","China",20,"",0
"Coburg","Coburg",1,"",0
"Colo.bia","Colo.bia",1,"",0
"colombia","colombia",1,"",0
"Colombia","Colombia",3,"",0
"Congo","Congo",1,"",0
"Costa Rica","Costa Rica",1,"",0
"Croatia","Croatia",1,"",0
"Cuba","Cuba",4,"",0
"Cyprud","Cyprud",1,"",0
"Czech republic","Czech republic",1,"",0
"Danmark","Danmark",2,"",0
"Denmark","Denmark",3,"",0
"Desde Venezuela","Desde Venezuela",1,"",0
"Dominican Republic","Dominican Republic",1,"",0
"Dominikanske republikk","Dominikanske republikk",1,"",0
"Dubai","Dubai",1,"",0
